,country,average,iq,education_expenditure_per_inhabitant,daily_max_temp,stability,rights,health,safety,climate,costs,popularity,area,population,pop_per_km_sq
24,Australia,above,99,1390.0,24.4,86.0,92.0,87.0,100.0,90.0,23.0,41.0,7741220.0,25740000.0,3.3
25,France,above,98,1609.0,16.8,72.0,83.0,91.0,93.0,41.0,29.0,71.0,549087.0,67500000.0,122.9
26,United States,above,98,1904.0,18.8,63.0,81.0,71.0,85.0,66.0,37.0,71.0,9831510.0,331890000.0,33.8
27,Hungary,above,98,392.0,16.6,70.0,57.0,81.0,88.0,43.0,56.0,48.0,1478703.15,101358196.72,840.45
28,Mongolia,above,98,50.0,8.0,59.0,44.0,60.0,72.0,44.0,70.0,31.0,1478703.15,101358196.72,840.45
29,Malta,above,97,619.0,23.1,86.0,72.0,91.0,92.0,75.0,41.0,44.0,320.0,520000.0,1615.2
30,Italy,above,97,1175.0,17.8,65.0,65.0,87.0,89.0,57.0,30.0,59.0,301340.0,59070000.0,196.0
31,Spain,above,97,885.0,21.0,64.0,73.0,87.0,95.0,74.0,43.0,68.0,505935.0,47330000.0,93.5
32,Poland,above,97,298.0,13.4,69.0,67.0,79.0,93.0,27.0,58.0,52.0,312680.0,37780000.0,120.8
33,Russia,above,96,157.0,9.5,47.0,26.0,74.0,75.0,33.0,62.0,43.0,17098250.0,143450000.0,8.4
34,Croatia,above,95,353.0,18.2,67.0,58.0,80.0,91.0,57.0,67.0,38.0,1478703.15,101358196.72,840.45
35,Ukraine,above,95,85.0,14.3,42.0,36.0,71.0,82.0,33.0,60.0,39.0,603550.0,43810000.0,72.6
36,Portugal,above,95,725.0,21.3,80.0,77.0,82.0,93.0,68.0,44.0,38.0,92226.0,10300000.0,111.7
37,Ireland,above,94,1635.0,13.2,84.0,90.0,82.0,96.0,2.0,35.0,36.0,70280.0,5030000.0,71.5
38,Vietnam,above,94,26.0,28.8,67.0,35.0,54.0,76.0,52.0,51.0,34.0,331230.0,98170000.0,296.4
